dataset,model,scaler_X_matches_random70_train,test_windows,test_windows_seen_in_training,pct_seen,R2_all_test,R2_seen_subset,R2_unseen_subset
rolling_mean,LSTM,True,1324,1134,85.6,0.6485794481310374,0.658697415098999,0.5927790213451258
rolling_mean,TRANSFORMER,True,1324,1134,85.6,0.145548178576707,0.1480547566625433,0.12556947507068295
cleaned_data,LSTM,True,1169,997,85.3,0.3208241565676371,0.3860867697111291,-0.036733177404693285
cleaned_data,TRANSFORMER,True,1169,997,85.3,0.009987962524628635,0.013901392840754756,-0.012440349010379492
processed_seq,LSTM,True,1202,1024,85.2,0.5088913620049771,0.5549289904527489,0.24427161794456775
processed_seq,TRANSFORMER,True,1202,1024,85.2,0.004783892396133527,0.0057457128461854134,-0.0008245083273639153
hydrographic,LSTM,True,694,584,84.1,0.45789977263375703,0.49330524867680814,0.2812744145674655
hydrographic,TRANSFORMER,True,694,584,84.1,0.4239200901771176,0.45930752392592866,0.24737563459044043
biotoxin,LSTM,True,757,650,85.9,0.17067139963743272,0.1640952728938817,0.20675813892219363
biotoxin,TRANSFORMER,True,757,650,85.9,-8.137967110100064e-05,-0.00029450243390583,-9.38149379419162e-05
