task,member,weight,val_R2,test_R2_train_only,test_R2_train_val
rolling_mean,rolling_mean__xgb,0.6,0.8930676389777435,0.8886469956481398,0.8969719366915991
rolling_mean,rolling_mean__lgb,0.4,0.892125867535816,0.8894887639856291,0.8978354293174602
cleaned_data,cleaned_data__lgb,0.5333333333333333,0.8707255499393206,0.8810339573307504,0.8972479571459244
cleaned_data,cleaned_data__xgb,0.4666666666666667,0.8702696346617307,0.8829345721482709,0.8937897537498197
era5_daily,era5_daily__context__lgb,0.4,0.9021654210955411,0.5438148288646191,0.5488434293693321
era5_daily,era5_daily__et,0.36666666666666664,0.89790367339665,0.5600365243419552,0.5659347766162515
era5_daily,era5_daily__context__xgb,0.23333333333333334,0.9016835013244603,0.5490843507687111,0.5614894272284934
cast,cast__lgb,0.5,0.3848904835731811,0.4160648517486898,0.43178586159581667
cast,cast__rf,0.26666666666666666,0.36278340792373176,0.38584120658980725,0.4125487917866255
cast,cast__xgb,0.23333333333333334,0.3752063167989984,0.3903040019051607,0.4125626323422682
processed_seq,processed_seq__hybrid__lgb,0.6333333333333333,0.3712182404611919,0.3437602877406254,0.36921058311522703
processed_seq,processed_seq__hybrid__xgb,0.36666666666666664,0.36545132132724134,0.3584532916281141,0.38596328866433816
hydrographic,hydrographic__hybrid__gru,0.7666666666666667,0.6944953162752314,0.591682111445853,0.6285321672232151
hydrographic,hydrographic__hybrid__lgb,0.23333333333333334,0.6268725366272117,0.5533231733202745,0.5591587700704852
biotoxin,biotoxin__window__xgb,0.4666666666666667,0.08118475110579693,0.02327270125497538,0.14553554751120323
biotoxin,biotoxin__window__lgb,0.23333333333333334,0.07374484223211208,0.030420345769672008,0.2188783209539984
biotoxin,biotoxin__hybrid__xgb,0.2,0.07510654106246817,0.03494427404964928,0.24989923537242498
biotoxin,biotoxin__hybrid__lgb,0.1,0.07417445789685762,0.030439848518086454,0.2249333529149662
rolling_mean (leak-free features),rolling_mean__leakfree__lgb,0.6,0.6097783584629959,0.6152826932286438,0.6451242635646636
rolling_mean (leak-free features),rolling_mean__leakfree__xgb,0.4,0.6061888351020729,0.5995063038148764,0.6445524064020363
cleaned_data (leak-free features),cleaned_data__leakfree__xgb,0.5666666666666667,0.6996459184578834,0.7248532682485076,0.7384125900744662
cleaned_data (leak-free features),cleaned_data__leakfree__lgb,0.3,0.694828517634264,0.708377289016044,0.7231066349419811
cleaned_data (leak-free features),cleaned_data__leakfree__et,0.13333333333333333,0.6779580886051366,0.6873606184802897,0.7168332883352491
