dataset,model,features,R2,CI_low,CI_high,MAE,RMSE,NRMSE,event_P,event_R,event_F1,n_test
rolling_mean,RF,leak-free,0.5745463276551028,0.5403770724266604,0.6035615690065722,0.02225588943431152,0.03047438796727374,0.11901308942701022,0.7647058823529411,0.29714285714285715,0.4279835390946502,1329
rolling_mean,XGB,leak-free,0.5614137998231425,0.5227886020223598,0.5958429775579667,0.022782236117387892,0.030941141738596006,0.1208359253240404,0.7204301075268817,0.38285714285714284,0.5,1329
rolling_mean,SVR,leak-free,0.008146956270380756,-0.059366251743013805,0.06659147623460779,0.04009731930628605,0.04652994284678021,0.18171561821042642,1.0,0.011428571428571429,0.022598870056497175,1329
rolling_mean,RIDGE,leak-free,0.591586292987285,0.5548275031762473,0.6271728834827347,0.022092962067196992,0.029857882768220382,0.11660542209449651,0.7391304347826086,0.4857142857142857,0.5862068965517241,1329
rolling_mean,LASSO,leak-free,-0.01584579034548317,-0.030981354816090323,-0.005629845037990977,0.034353028746810156,0.04708935551032318,0.18390031932482906,0.0,0.0,0.0,1329
cleaned_data,RF,leak-free,0.6894535068626741,0.6546649381858305,0.7211438753398108,0.03220228506138107,0.04978862856518563,0.12385230986364583,0.8181818181818182,0.3383458646616541,0.4787234042553192,1173
cleaned_data,XGB,leak-free,0.6758504972637319,0.6390216416414605,0.7108262416130011,0.03406190731056917,0.05086739870605638,0.12653581767675717,0.7051282051282052,0.41353383458646614,0.5213270142180095,1173
cleaned_data,SVR,leak-free,0.24504816140173258,0.19490243998332055,0.28959824313451793,0.06649418528833657,0.077629443461305,0.19310806831170396,0.5454545454545454,0.13533834586466165,0.21686746987951808,1173
cleaned_data,RIDGE,leak-free,0.3219139084644721,0.27078046631400376,0.36054442400767545,0.05567748906881492,0.0735714418362199,0.18301353690601965,0.7857142857142857,0.08270676691729323,0.14965986394557823,1173
cleaned_data,LASSO,leak-free,-0.004850234284283994,-0.01534902018041419,-0.00026565482626716476,0.06947000489883765,0.08956070800068576,0.222787830847477,0.0,0.0,0.0,1173
