dataset,model,split,n_train,R2,CI_low,CI_high,MAE,RMSE,NRMSE,event_P,event_R,event_F1,n_test
rolling_mean,LSTM,chronological-70/15/15,6177,0.6485794481310374,0.6057769922366043,0.6883544381585469,0.0197627879228213,0.027726288138595994,0.10828080331790106,0.7214285714285714,0.5771428571428572,0.6412698412698413,1324
rolling_mean,TRANSFORMER,chronological-70/15/15,6177,0.145548178576707,0.12693530273337897,0.16619341376135427,0.03221129869406317,0.04323365413868255,0.16884246376954445,0.0,0.0,0.0,1324
cleaned_data,LSTM,chronological-70/15/15,5452,0.3208241565676371,0.25268472315131785,0.37659499673494434,0.05872158431593835,0.0737105448931668,0.18335956441086265,0.6901408450704225,0.3684210526315789,0.4803921568627451,1169
cleaned_data,TRANSFORMER,chronological-70/15/15,5452,0.009987962524628635,-0.005365685998392372,0.02101924216479041,0.06890730324772508,0.0889935935490802,0.2213770983807965,0.0,0.0,0.0,1169
processed_seq,LSTM,chronological-70/15/15,5606,0.5088913620049771,0.44883050705749966,0.5606286411904766,0.044189667042822095,0.06314342592548024,0.15746490255730733,0.8571428571428571,0.43636363636363634,0.5783132530120482,1202
processed_seq,TRANSFORMER,chronological-70/15/15,5606,0.004783892396133527,-0.0005636558557131242,0.00711590306103621,0.07115022390138685,0.08988724157500903,0.22415770966336415,0.0,0.0,0.0,1202
hydrographic,LSTM,chronological-70/15/15,3236,0.45789977263375703,0.3729298095375072,0.5388414668389223,0.14600284306649172,0.22218375237473073,0.1542942724824519,0.8,0.19047619047619047,0.3076923076923077,694
hydrographic,TRANSFORMER,chronological-70/15/15,3236,0.4239200901771176,0.3326329520383462,0.5066801014590151,0.1529367740851658,0.2290413355308278,0.15905648300751932,0.6153846153846154,0.09523809523809523,0.16494845360824742,694
biotoxin,LSTM,chronological-70/15/15,3532,0.17067139963743272,0.120125595702425,0.22250659259150038,14.20937065351277,18.860921085643525,0.21464573899673978,0.0,0.0,0.0,757
biotoxin,TRANSFORMER,chronological-70/15/15,3532,-8.137967110100064e-05,-0.007201109760246116,0.00019130964278128143,17.771316566215322,20.7117715515761,0.23570924720127573,0.0,0.0,0.0,757
