dataset,model,split,n_features,n_train,R2,CI_low,CI_high,MAE,RMSE,NRMSE,event_P,event_R,event_F1,n_test
rolling_mean,MEAN,chronological-70/15/15,60,6198,-0.01584579034548317,-0.030981354816090323,-0.005629845037990977,0.034353028746810156,0.04708935551032318,0.18390031932482906,0.0,0.0,0.0,1329
rolling_mean,RIDGE,chronological-70/15/15,60,6198,0.8543609860159975,0.8341518732619859,0.873212247005635,0.012889647831875019,0.017829851204728988,0.06963177334939374,0.8433734939759037,0.8,0.8211143695014663,1329
rolling_mean,LASSO,chronological-70/15/15,60,6198,-0.01584579034548317,-0.030981354816090323,-0.005629845037990977,0.034353028746810156,0.04708935551032318,0.18390031932482906,0.0,0.0,0.0,1329
rolling_mean,RF,chronological-70/15/15,60,6198,0.8636350464508002,0.8430066572253012,0.8822305410352663,0.012217830286905661,0.0172528258403919,0.0673782885095587,0.8783783783783784,0.7428571428571429,0.804953560371517,1329
rolling_mean,XGB,chronological-70/15/15,60,6198,0.8714657207672116,0.8551745171361887,0.8859331599266498,0.012015031147213641,0.016750135984250892,0.0654151096963465,0.8452380952380952,0.8114285714285714,0.8279883381924198,1329
rolling_mean,SVR,chronological-70/15/15,60,6198,0.07698302695266201,0.015096099894968766,0.13072488749687114,0.03879705948397387,0.044886288601788296,0.1752965764283116,0.0,0.0,0.0,1329
cleaned_data,MEAN,chronological-70/15/15,64,5473,-0.004850234284283994,-0.01534902018041419,-0.00026565482626716476,0.06947000489883765,0.08956070800068576,0.222787830847477,0.0,0.0,0.0,1173
cleaned_data,RIDGE,chronological-70/15/15,64,5473,0.6934409365318641,0.6585925675781326,0.72573078180039,0.03681995148742522,0.049467951850721135,0.12305460659383366,0.8095238095238095,0.5112781954887218,0.6267281105990783,1173
cleaned_data,LASSO,chronological-70/15/15,64,5473,-0.004850234284283994,-0.01534902018041419,-0.00026565482626716476,0.06947000489883765,0.08956070800068576,0.222787830847477,0.0,0.0,0.0,1173
cleaned_data,RF,chronological-70/15/15,64,5473,0.8226648678149681,0.7984187666006405,0.8453524618094065,0.0252061702685422,0.037623937177472,0.09359188352604975,0.8058252427184466,0.6240601503759399,0.7033898305084746,1173
