dataset,model,paper_R2,paper_CI,paper_MAE,repro_R2,repro_CI,repro_MAE,RMSE,NRMSE,abs_diff_R2,match_4dp
biotoxin,LASSO,-0.0046,"[-0.018, -0.000]",17.7621,-0.0045937798167956,"[-0.018, -0.000]",17.76213898872397,20.7392430988432,0.2360218857271332,6.220183204399925e-06,True
biotoxin,MEAN,-0.0025,"[-0.014, -0.000]",17.7612,-0.002513787679804,"[-0.014, -0.000]",17.761180990076774,20.71776187160112,0.235777419729158,1.3787679803999899e-05,True
biotoxin,RIDGE,-0.006,"[-0.021, -0.000]",17.7779,-0.0060400780225882,"[-0.021, -0.000]",17.777895256633503,20.75416671402394,0.2361917231594849,4.007802258820022e-05,True
biotoxin,LSTM,0.1707,"[0.120, 0.223]",14.2095,0.1706713996374327,"[0.120, 0.223]",14.20937065351277,18.860921085643525,0.2146457389967397,2.8600362567299253e-05,True
biotoxin,TRANSFORMER,-0.0001,"[-0.007, 0.000]",17.7713,-8.137967110100064e-05,"[-0.007, 0.000]",17.771316566215322,20.7117715515761,0.2357092472012757,1.8620328898999366e-05,True
biotoxin,RF,-0.0057,"[-0.020, -0.000]",17.7741,-0.0057382499927471,"[-0.020, -0.000]",17.774050103933526,20.75105319036979,0.2361562898642288,3.824999274709955e-05,True
biotoxin,SVR,-0.423,"[-0.537, -0.329]",17.7231,-0.4229945070414895,"[-0.537, -0.329]",17.72313648293963,24.68307550537814,0.2809044668871986,5.492958510489032e-06,True
biotoxin,XGB,-0.006,"[-0.021, -0.000]",17.778,-0.0060448095619134,"[-0.021, -0.000]",17.77795475997324,20.754215518759786,0.2361922785792623,4.480956191340018e-05,True
cast,LASSO,0.0959,"[0.077, 0.115]",1301.309,0.0959495028548215,"[0.077, 0.115]",1301.3089609903102,1454.554279259819,0.1852699374932899,4.950285482149819e-05,True
cast,MEAN,-0.0,"[-0.002, -0.000]",1406.9774,-1.834501404562872e-06,"[-0.002, -0.000]",1406.9773577501371,1529.7976379852023,0.194853857850618,1.834501404562872e-06,True
cast,RIDGE,0.096,"[0.077, 0.115]",1301.2664,0.0959558162746766,"[0.077, 0.115]",1301.2663978782596,1454.5492003245554,0.1852692905775768,4.418372532340176e-05,True
cast,RF,0.3832,"[0.357, 0.412]",926.6285,0.3832212778909071,"[0.357, 0.412]",926.6285170731708,1201.4294658253182,0.1530288454751392,2.1277890907112074e-05,True
cast,SVR,0.0886,"[0.078, 0.098]",1331.072,0.0886211256722788,"[0.078, 0.098]",1331.0720011346596,1460.4378043458933,0.1860193356700921,2.1125672278798913e-05,True
cast,XGB,0.3805,"[0.354, 0.406]",959.9495,0.3804962005758726,"[0.354, 0.406]",959.9494705119656,1204.080643399236,0.1533665320849874,3.7994241274263985e-06,True
cleaned_data,LASSO,-0.0049,"[-0.015, -0.000]",0.0695,-0.0048502342842839,"[-0.015, -0.000]",0.0694700048988376,0.0895607080006857,0.222787830847477,4.976571571609946e-05,True
cleaned_data,MEAN,-0.0049,"[-0.015, -0.000]",0.0695,-0.0048502342842839,"[-0.015, -0.000]",0.0694700048988376,0.0895607080006857,0.222787830847477,4.976571571609946e-05,True
cleaned_data,RIDGE,0.6934,"[0.659, 0.726]",0.0368,0.6934409365318641,"[0.659, 0.726]",0.0368199514874252,0.0494679518507211,0.1230546065938336,4.0936531864099734e-05,True
cleaned_data,LSTM,0.3208,"[0.253, 0.377]",0.0587,0.3208241565676371,"[0.253, 0.377]",0.0587215843159383,0.0737105448931668,0.1833595644108626,2.415656763710139e-05,True
cleaned_data,TRANSFORMER,0.01,"[-0.005, 0.021]",0.0689,0.0099879625246286,"[-0.005, 0.021]",0.068907303247725,0.0889935935490802,0.2213770983807965,1.2037475371399695e-05,True
cleaned_data,RF,0.8227,"[0.798, 0.845]",0.0252,0.8226648678149681,"[0.798, 0.845]",0.0252061702685422,0.037623937177472,0.0935918835260497,3.51321850319275e-05,True
cleaned_data,SVR,0.5522,"[0.512, 0.588]",0.0498,0.5521859181761646,"[0.512, 0.588]",0.0498220002183722,0.059788233525571,0.1487269490685846,1.408182383544343e-05,True
cleaned_data,XGB,0.8305,"[0.801, 0.852]",0.0246,0.8305206640783285,"[0.801, 0.852]",0.0246167724210958,0.0367811434038404,0.0914953816015931,2.0664078328458402e-05,True
era5_daily,LASSO,-0.1207,"[-0.135, -0.077]",1.37,-0.1207317889911157,"[-0.135, -0.077]",1.369993654143819,1.7718400101838003,0.1876331661206976,3.178899111569433e-05,True
era5_daily,MEAN,-0.1741,"[-0.191, -0.149]",1.4228,-0.1741003101409275,"[-0.191, -0.149]",1.4228452104041498,1.8135363312535264,0.1920486961307047,3.1014092749526156e-07,True
era5_daily,RIDGE,-0.1328,"[-0.143, -0.075]",1.3661,-0.1328499698048342,"[-0.143, -0.075]",1.36607373220773,1.781393477008769,0.1886448529645972,4.9969804834210096e-05,True
era5_daily,RF,0.5125,"[0.489, 0.549]",0.7749,0.5124633835962307,"[0.489, 0.549]",0.7748843695916686,1.1686306660776329,0.1237548935804535,3.66164037692851e-05,True
era5_daily,SVR,0.4318,"[0.405, 0.478]",0.8327,0.431850353926353,"[0.405, 0.478]",0.8326456943451629,1.2615516305083752,0.1335949777048211,5.035392635299729e-05,True
era5_daily,XGB,0.4914,"[0.474, 0.536]",0.8164,0.4914402376836627,"[0.474, 0.536]",0.8163771781470416,1.19356110190943,0.1263949607315525,4.0237683662680546e-05,True
hydrographic,LASSO,-0.1191,"[-0.176, -0.078]",0.2364,-0.1190700512801266,"[-0.176, -0.078]",0.2364405692654041,0.3187618826991438,0.2213624185410721,2.9948719873398866e-05,True
hydrographic,MEAN,-0.1191,"[-0.176, -0.078]",0.2364,-0.1190700512801266,"[-0.176, -0.078]",0.2364405692654041,0.3187618826991438,0.2213624185410721,2.9948719873398866e-05,True
hydrographic,RIDGE,-0.2702,"[-0.361, -0.198]",0.2677,-0.2701621495515161,"[-0.361, -0.198]",0.2677231496386755,0.3395997250727926,0.2358331424116615,3.7850448483922605e-05,True
hydrographic,LSTM,0.4579,"[0.373, 0.539]",0.146,0.457899772633757,"[0.373, 0.539]",0.1460028430664917,0.2221837523747307,0.1542942724824519,2.2736624299968256e-07,True
hydrographic,TRANSFORMER,0.4239,"[0.333, 0.507]",0.1529,0.4239200901771176,"[0.333, 0.507]",0.1529367740851658,0.2290413355308278,0.1590564830075193,2.0090177117626506e-05,True
hydrographic,RF,-0.3536,"[-0.485, -0.248]",0.2651,-0.3535892024707494,"[-0.485, -0.248]",0.2651143266475644,0.3505751974319365,0.2434549982166225,1.079752925065014e-05,True
hydrographic,SVR,-0.5874,"[-0.755, -0.435]",0.2936,-0.5874246373603587,"[-0.755, -0.435]",0.2936458715595535,0.3796507872862878,0.2636463800599221,2.4637360358625848e-05,True
hydrographic,XGB,-0.592,"[-0.740, -0.465]",0.3021,-0.5920333238047253,"[-0.740, -0.465]",0.3021242434447124,0.3802014979434049,0.2640288180162534,3.332380472531593e-05,True
processed_seq,LASSO,-0.0,"[-0.004, -0.000]",0.0716,-1.630933778162813e-05,"[-0.004, -0.000]",0.0715657477448961,0.0900243724722005,0.2244996819755624,1.630933778162813e-05,True
processed_seq,MEAN,-0.0,"[-0.004, -0.000]",0.0716,-1.630933778162813e-05,"[-0.004, -0.000]",0.0715657477448961,0.0900243724722005,0.2244996819755624,1.630933778162813e-05,True
processed_seq,RIDGE,0.0628,"[0.018, 0.104]",0.0673,0.0628256218237708,"[0.018, 0.104]",0.067344310456195,0.0871498742112163,0.2173313571352028,2.562182377080502e-05,True
processed_seq,LSTM,0.5089,"[0.449, 0.561]",0.0442,0.5088913620049771,"[0.449, 0.561]",0.044189667042822,0.0631434259254802,0.1574649025573073,8.637995022930944e-06,True
processed_seq,TRANSFORMER,0.0048,"[-0.001, 0.007]",0.0712,0.0047838923961335,"[-0.001, 0.007]",0.0711502239013868,0.089887241575009,0.2241577096633641,1.6107603866499787e-05,True
processed_seq,RF,0.0404,"[-0.012, 0.086]",0.0681,0.0403983903806772,"[-0.012, 0.086]",0.0681252971533996,0.0881864875590094,0.2199164278279536,1.6096193228010147e-06,True
processed_seq,SVR,-0.0962,"[-0.164, -0.049]",0.0788,-0.0962420014101175,"[-0.164, -0.049]",0.0787938892189108,0.0942561681258333,0.2350527883437241,4.200141011750924e-05,True
processed_seq,XGB,-0.0281,"[-0.088, 0.025]",0.07,-0.0281245160105227,"[-0.088, 0.025]",0.0700089803507171,0.0912807960445326,0.2276329078417271,2.45160105226995e-05,True
rolling_mean,LASSO,-0.0158,"[-0.031, -0.006]",0.0344,-0.0158457903454831,"[-0.031, -0.006]",0.0343530287468101,0.0470893555103231,0.183900319324829,4.5790345483097405e-05,True
rolling_mean,MEAN,-0.0158,"[-0.031, -0.006]",0.0344,-0.0158457903454831,"[-0.031, -0.006]",0.0343530287468101,0.0470893555103231,0.183900319324829,4.5790345483097405e-05,True
rolling_mean,RIDGE,0.8544,"[0.834, 0.873]",0.0129,0.8543609860159975,"[0.834, 0.873]",0.012889647831875,0.0178298512047289,0.0696317733493937,3.901398400252276e-05,True
rolling_mean,LSTM,0.6486,"[0.606, 0.688]",0.0198,0.6485794481310374,"[0.606, 0.688]",0.0197627879228213,0.0277262881385959,0.108280803317901,2.0551868962548347e-05,True
rolling_mean,TRANSFORMER,0.1455,"[0.127, 0.166]",0.0322,0.145548178576707,"[0.127, 0.166]",0.0322112986940631,0.0432336541386825,0.1688424637695444,4.8178576706997545e-05,True
rolling_mean,RF,0.8636,"[0.843, 0.882]",0.0122,0.8636350464508002,"[0.843, 0.882]",0.0122178302869056,0.0172528258403919,0.0673782885095587,3.504645080021351e-05,True
rolling_mean,SVR,0.077,"[0.015, 0.131]",0.0388,0.076983026952662,"[0.015, 0.131]",0.0387970594839738,0.0448862886017882,0.1752965764283116,1.6973047337998093e-05,True
rolling_mean,XGB,0.8715,"[0.855, 0.886]",0.012,0.8714657207672116,"[0.855, 0.886]",0.0120150311472136,0.0167501359842508,0.0654151096963465,3.4279232788425595e-05,True
